,work_ids,work_titles,authors,fandoms,iscrossover,ratings,warnings,genres,completions,dates,pairings,characters,freeforms,summaries,languages,wordcounts,chaptercounts,commentcounts,kudoscounts,bookmarks,hitcounts
4957,384530,Slinking in the Shadows,Gelsey,Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,"F/M, Gen",Complete Work,2012/04/16,Severus Snape/Nymphadora Tonks,,," Someone is monopolizing her pet's time, and she doesn't like it. ",English,495,1/1,0,27,0,756
4958,384509,Not For Everyone,lastcrazyhorn,Harry Potter - J. K. Rowling,0,Mature,No Archive Warnings Apply,M/M,Complete Work,2012/04/16,Harry Potter/Severus Snape,"Harry Potter, Severus Snape","One Shot, Alternate Universe - Post-War, Not Canon Compliant, First Time, Don't copy to another site, Уточнять у автора"," Harry and Severus are in a relationship, but Harry's not so sure about this whole anal sex thing. Not particularly graphic. ",English,994,1/1,9,132,9,"3,641"
4959,384481,The Terminal Point of Addiction,Maidenjedi,Harry Potter - J. K. Rowling,0,Mature,Graphic Depictions Of Violence,F/M,Complete Work,2012/04/16,"Bellatrix Lestrange/Rodolphus Lestrange, Bellatrix Lestrange/Voldemort","Bellatrix Lestrange, Lucius Malfoy, Alice Longbottom, Rabastan Lestrange, Rodolphus Lestrange, Frank Longbottom, Narcissa Malfoy, Voldemort",," How Bellatrix became his, and never looked back. ",English,"1,172",1/1,3,21,1,965
4960,384480,Missing,Maidenjedi,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,Gen,Complete Work,2012/04/16,,"Andromeda Tonks, Ted Tonks, Nymphadora Tonks",, A day of shopping in Diagon Alley goes awry for Andromeda Tonks. How does she handle it? ,English,"1,061",1/1,0,9,1,239
4961,384479,Traitor Most Accursed,Maidenjedi,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,Gen,Complete Work,2012/04/16,,"Peter Pettigrew, Lily Potter, Alice Longbottom, Harry Potter",, Summer 1981. Peter has a moment of doubt. ,English,"2,615",1/1,1,11,1,198
4962,384399,Treacle Fudge,Gelsey,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Choose Not To Use Archive Warnings,Gen,Complete Work,2012/04/16,,"Hermione Granger, Severus Snape",Drabble, Hermione gets some company. ,English,100,1/1,0,6,2,210
4963,384352,A Very Walpurgis Night's Madness,Lomonaaeren,Harry Potter - J. K. Rowling,0,Explicit,No Archive Warnings Apply,M/M,Complete Work,2012/04/16,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter, Puck (Midsummer Night's Dream), Queen of Faerie","Beltane, Action/Adventure, Fae & Fairies, Voyeurism"," The fading and diminishing of the English faeries was caused by wizards; they bound them away from the mortal world so that only shadows of them could come through. Now one powerful being, known to humans as Puck, has escaped from confinement. Harry and Draco have to imprison him again before he can turn the whole of England into a twisted faerie amusement park. ",English,"19,958",1/1,6,200,44,"3,352"
4964,384351,"Chocolate, With Love",ferporcel,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,F/M,Complete Work,2012/04/16,Hermione Granger/Severus Snape,"Severus Snape, Hermione Granger","Romance, Fluff, One Shot", Severus is gifted with chocolate one Easter morning and decides he wants more than that. ,English,"1,005",1/1,6,142,10,"3,541"
4965,384343,Said the Tortoise to the Hare,Lomonaaeren,Harry Potter - J. K. Rowling,0,Mature,No Archive Warnings Apply,M/M,Complete Work,2012/04/16,"Draco Malfoy/Harry Potter, Harry Potter/Ginny Weasley, Harry Potter/Others","Draco Malfoy, Harry Potter, Hermione Granger, Ginny Weasley","Slow Build, Romance, Humor"," Let others fling themselves at Harry; let them confirm his bad opinion of them and slobber down his sleeve with their adoration. Draco knew that the best way to win Harry Potter’s heart was to be his friend first, and go so slowly he wouldn’t even realize you were doing it ",English,"12,418",1/1,136,"12,777","2,333","129,216"
4966,384311,Evergreen,Gelsey,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,F/M,Complete Work,2012/04/16,Harry Potter/Ginny Weasley,,Drabble, Ginny leaves Harry a note. ,English,100,1/1,0,6,0,449
4967,384289,Roast Goose,Gelsey,Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,"F/M, Gen",Complete Work,2012/04/16,Ron Weasley/Original Female Character,,Drabble, Ron visits his girlfriend's family for the holidays. ,English,100,1/1,0,6,0,395
4968,384189,Room 211,DawnEB,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,"F/M, Gen",Complete Work,2012/04/16,Hermione Granger/Severus Snape,"Hermione Granger, Severus Snape, Ginny Potter, Nymphadora Tonks-Lupin",," A suspicious Severus follows Hermione to a Muggle hotel.A drabble series of 12 X 100 words, for the GS100 Deception and Undergarment challenges on LJ. ",English,"1,200",1/1,1,81,7,"2,014"
4969,384245,Speechless,ferporcel,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,F/M,Complete Work,2012/04/15,Hermione Granger/Severus Snape,"Severus Snape, Hermione Granger","Snapshots, One Shot, Alternate Universe, Romance", Hermione is rendered speechless by Severus Snape. ,English,"1,019",1/1,7,216,16,"5,095"
4970,384234,An Angel and a Demon,Gelsey,Harry Potter - J. K. Rowling,0,Explicit,Choose Not To Use Archive Warnings,F/M,Complete Work,2012/04/15,"Lucius Malfoy/Narcissa Malfoy, Bellatrix Lestrange/Lucius Malfoy",,"Sadism, Insanity", Lucius has an odd balance in his love life. ,English,"1,344",1/1,0,21,2,"1,335"
4971,384228,The Blue Blanket,ferporcel,Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,"F/M, Gen",Complete Work,2012/04/15,Hermione Granger/Severus Snape,"Hermione Granger, Severus Snape, Nathan Granger","Drabble, One Shot, Humor, Challenge Response", All Hermione wanted was her son to be comfortable. Snapshot in the universe of Not Only a Granger. ,English,100,1/1,8,173,6,"3,639"
4972,314988,How To Win A Girl In Ten Days,fireiscatching,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Choose Not To Use Archive Warnings,F/M,Work in Progress,2012/04/15,Astoria Greengrass/Draco Malfoy,"Draco Malfoy, Astoria Greengrass","Romance, Drama"," Draco Malfoy and Astoria Greengrass have an extensive history and a complicated relationship. With Astoria's wedding fast approaching, can Draco win the heart of the only woman he can't have? ",English,"2,420",2/?,0,9,0,464
4973,384216,Acknowledgement,ferporcel,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,F/M,Complete Work,2012/04/15,Hermione Granger/Severus Snape,"Hermione Granger, Severus Snape","Double Drabble, Romance, One Shot, Teacher-Student Relationship"," In a silent exchange, all the knowledge they needed. ",English,200,1/1,1,56,3,"2,310"
4974,384213,A Bientôt,Gelsey,Harry Potter - J. K. Rowling,0,Mature,No Archive Warnings Apply,F/M,Complete Work,2012/04/15,Fred Weasley/Original Female Character,"Fred Weasley, George Weasley, Original Female Character",Partial Nudity, Fred and George had long since disappeared into the darkness with a pair of Fleur’s cousins. -pg. 151 of DH (American edition) ,English,"1,497",1/1,0,24,3,"1,124"
4975,384214,Hic Sunt Dracones,strawberrykait,Harry Potter - J. K. Rowling,0,Mature,No Archive Warnings Apply,F/M,Complete Work,2012/04/15,Hermione Granger/Draco Malfoy,"Hermione Granger, Draco Malfoy, Charlie Weasley","Mild Sexual Content, Implied Relationships"," One afternoon, as Draco Malfoy awoke from a heavy stupor, he discovered he had been transformed… ",English,"17,229",1/1,25,619,122,"12,535"
4976,384170,Time is What You Make It (the King Of Pain remix),aron_kristina,Harry Potter - J. K. Rowling,0,Mature,Choose Not To Use Archive Warnings,M/M,Complete Work,2012/04/15,"Regulus Black/Sirius Black, Implied Regulus Black/Sirius Black/Harry Potter","Sirius Black, Regulus Black","Canonical Character Death, Sibling Incest, Blackcest, Alcohol Abuse/Alcoholism, Dark"," I guess I'm always hoping that you'll end this reignBut it's my destiny to be the king of painSirius can't forget his brother, even if he wants to. ",English,"1,049",1/1,4,168,19,"3,195"
4977,384066,Quelqu’un M’a Dit,wandofhawthorn,Harry Potter - J. K. Rowling,0,Mature,Choose Not To Use Archive Warnings,F/M,Complete Work,2012/04/15,"Hermione Granger/Draco Malfoy, Astoria Greengrass/Draco Malfoy","Hermione Granger, Draco Malfoy, Harry Potter, Ginny Weasley, Astoria Greengrass, Ron Weasley",," Draco Malfoy brings his new girlfriend, Astoria Greengrass to the party of the year (a combined stag/hen party for Harry and Ginny), and Hermione can't help but remember a fateful trip to Paris that had been fueled by firewhiskey and frustration. ",English,"3,916",1/1,8,63,7,"3,281"
4978,384098,someday you'll get your happy ending,soapboxblues,Harry Potter - J. K. Rowling,0,General Audiences,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",F/M,Complete Work,2012/04/15,Luna Lovegood/Harry Potter,"Harry Potter, Luna Lovegood","HP: Epilogue Compliant, Post - Deathly Hallows"," summers were always miserable, but she's teaching him that things can change. Spoilers through book seven, but it's not epilogue compliant. ",English,"3,144",1/1,26,262,68,"2,748"
4979,384042,Breathless and Broken,semaphoredrivethru,Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,F/M,Complete Work,2012/04/15,Nymphadora Tonks/Charlie Weasley,"Nymphadora Tonks, Charlie Weasley","Just read, seriously"," Tonks never has been and never will be a lady, but for this one thing, she's willing to try... ",English,"1,876",1/1,4,16,1,668
